34,115,60,140
501,157,528,183
473,203,492,225
870,152,894,174
1061,444,1090,483
1090,679,1114,710
799,532,827,563
243,680,267,705
360,751,386,779
460,763,485,790
395,631,422,664
328,639,354,664
815,1164,847,1195
811,1347,840,1381
1115,1213,1155,1256
918,1182,950,1221
399,1162,427,1195
424,953,447,982
112,1404,144,1440
440,1335,467,1367
1185,1532,1213,1559
1405,1549,1433,1584
964,1666,995,1701
1614,2655,1654,2700
2736,2689,2775,2732
1816,2523,1856,2563
1267,2437,1303,2486
1175,2923,1207,2952
1285,2680,1310,2712
1085,2608,1119,2653
946,2399,975,2435
1137,2439,1173,2473
1000,2473,1033,2513
880,2662,912,2709
781,2626,819,2657
788,2405,826,2439
862,2374,891,2405
711,2374,741,2401
472,2470,495,2502
675,2520,701,2552
714,2575,742,2610
622,2631,653,2667
745,2692,772,2727
792,2760,814,2790
620,2759,645,2793
668,2902,697,2936
230,2679,261,2716
468,2740,504,2773
3546,124,3579,165
3947,43,3990,88
4191,17,4229,55
4888,1077,4919,1119
4732,545,4767,578
4863,455,4893,492
3908,1377,3940,1411
852,75,873,98
958,88,975,113
452,155,472,173
448,2305,470,2332
691,2294,713,2316
1058,2395,1075,2412
152,2940,168,2960
